Position on chart,Title,Billboard Artist,Track name,Spotify Artist,Album,Popularity ranking #,Spotify URL
1,"""Last Night""",Morgan Wallen,Last Night,Morgan Wallen,One Thing At A Time,83,https://open.spotify.com/track/7K3BhSpAxZBznislvUMVtn
2,"""Flowers""",Miley Cyrus,Flowers,Miley Cyrus,Endless Summer Vacation,89,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0
3,"""Kill Bill""",SZA,Kill Bill,SZA,SOS,85,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL
4,"""Anti-Hero""",Taylor Swift,Anti-Hero,Taylor Swift,Midnights,84,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
5,"""Creepin'""","Metro Boomin, the Weeknd and 21 Savage",Creepin' (with The Weeknd & 21 Savage),Metro Boomin,HEROES & VILLAINS,84,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO
6,"""Calm Down""",Rema and Selena Gomez,Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),83,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8
7,"""Die for You""",The Weeknd and Ariana Grande,Die For You,The Weeknd,Starboy,87,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
8,"""Fast Car""",Luke Combs,Fast Car,Luke Combs,Gettin' Old,85,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT
9,"""Snooze""",SZA,Snooze,SZA,SOS,90,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2
10,"""I'm Good (Blue)""",David Guetta and Bebe Rexha,I'm Good (Blue),David Guetta,I'm Good (Blue),88,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
11,"""Unholy""",Sam Smith and Kim Petras,Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),80,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
12,"""You Proof""",Morgan Wallen,You Proof,Morgan Wallen,One Thing At A Time,81,https://open.spotify.com/track/5W4kiM2cUYBJXKRudNyxjW
13,"""Something in the Orange""",Zach Bryan,Something in the Orange,Zach Bryan,Something in the Orange,87,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI
14,"""Rich Flex""",Drake and 21 Savage,Rich Flex,Drake,Her Loss,78,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N
15,"""As It Was""",Harry Styles,As It Was,Harry Styles,Harry's House,90,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
16,"""Rock and a Hard Place""",Bailey Zimmerman,Rock and A Hard Place,Bailey Zimmerman,Religiously. The Album.,84,https://open.spotify.com/track/1TE8AAk9koG0UJco6ZAUfx
17,"""Under the Influence""",Chris Brown,Under The Influence,Chris Brown,Indigo (Extended),85,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb
18,"""Cruel Summer""",Taylor Swift,Cruel Summer,Taylor Swift,Lover,91,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
19,"""Thinkin' Bout Me""",Morgan Wallen,Thinkin’ Bout Me,Morgan Wallen,One Thing At A Time,83,https://open.spotify.com/track/0PAcdVzhPO4gq1Iym9ESnK
20,"""Boy's a Liar Pt. 2""",PinkPantheress and Ice Spice,Boy's a liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,75,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
21,"""Favorite Song""",Toosii,Favorite Song,Toosii,NAUJOUR,69,https://open.spotify.com/track/5Bvhk3wx42kkDEggSQIwqL
22,"""Thought You Should Know""",Morgan Wallen,Thought You Should Know,Morgan Wallen,One Thing At A Time,79,https://open.spotify.com/track/3Qu3Zh4WTKhP9GEXo0aDnb
23,"""Thank God""",Kane Brown and Katelyn Brown,Thank God,Kane Brown,Different Man,72,https://open.spotify.com/track/1brnLTvarI9D1hLP6z2Ar8
24,"""Sure Thing""",Miguel,Sure Thing,Miguel,All I Want Is You,87,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV
25,"""All My Life""",Lil Durk featuring J. Cole,All My Life,Foo Fighters,One By One (Expanded Edition),75,https://open.spotify.com/track/6tsojOQ5wHaIjKqIryLZK6
26,"""Ella Baila Sola""",Eslabon Armado and Peso Pluma,Ella Baila Sola,Eslabon Armado,Ella Baila Sola,79,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb
27,"""Karma""",Taylor Swift featuring Ice Spice,"""Karma""",Frank Fileccia,"""Is Everyone Going To Hell?""",0,https://open.spotify.com/track/1BfLmVSpeZyjK4mCm7gVsv
28,"""Just Wanna Rock""",Lil Uzi Vert,Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,74,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d
29,"""Cuff It""",Beyoncé,CUFF IT,Beyoncé,RENAISSANCE,79,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS
30,"""Vampire""",Olivia Rodrigo,vampire,Olivia Rodrigo,GUTS,87,https://open.spotify.com/track/1kuGVB7EU95pJObxwvfwKS
31,"""FukUMean""",Gunna,fukumean,Gunna,a Gift & a Curse,83,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS
32,"""Lavender Haze""",Taylor Swift,Lavender Haze,Taylor Swift,Midnights,76,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC
33,"""Players""",Coi Leray,Players,Coi Leray,Players,72,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij
34,"""Need a Favor""",Jelly Roll,Need A Favor,Jelly Roll,Whitsitt Chapel,79,https://open.spotify.com/track/07on0OB2cdPt79IFsgdRUy
35,"""Dance the Night""",Dua Lipa,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),84,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA
36,"""Love You Anyway""",Luke Combs,Love You Anyway,Luke Combs,Gettin' Old,74,https://open.spotify.com/track/2kYevr8cbIAH2ha8210Bnz
