Name,Height
Anthony Attenborough,70.0
James Curran,69.0
Charles Cusumano,64.0
David Fayngersh,70.0
Michael Graham,70.0
Eslam Hussein,67.0
Maxim Kleyer,70.0
William Kwan,68.0
Julian Lopez,68.0
Dylan Martinson,73.0
Hassan Matar,70.0
David Poggioli,73.0
Elliot Radov,73.0
Josiah Rivera,68.0
Sam Rozenfeld,67.0
Nicholas Tartaglione,72.0
Ahmed Algendy,73.0
Aanas Aybakar,72.0
George Molina,72.0
Wood-by Paulemont,69.0
Richard Reyes,66.0
Jeremy Sapeg,70.0
Alex Winter,72.0
Ethan Abramov,73.0
Adam Byrne,73.0
Dylan Cellamare,67.0
Floyd Diaz,70.0
Vicent Dominguez Romero,70.0
Youssef  Elkhouly,75.0
Ramiel Fayngersh,71.0
Eric Goldshteyn,68.0
Michael Guzman,70.0
Christos Hamakiotes,69.0
Duncan Huie,69.0
Samuel Liao,65.0
Jordan Lin,69.0
Eric Mayzlin,65.0
Sami Rahman,70.0
Maxim Reznik,71.0
Luca Shapiro,69.0
Gregory Terentyev,67.0
Valentyn Titarenko,71.0
Leonardo Valdivia,68.0
Daniel Vasilkoff,71.0
Lucas Vasquez,72.0
Stuart Xu,65.0
Daniel Yadgarov,72.0
Ronaldo Barrios,74.0
Devin Boodha,69.0
Nikita  Cary,68.0
Alec Chi,70.0
Peter Ebert,74.0
Andwele Estwick,71.0
Omar Hasan- Hafez,73.0
Christian Hoyek,72.0
Konstantin Lomeyko,68.0
Mark  MacEachen,76.0
James Rupa,70.0
Akmalijon Salimov,69.0
Jordan Anderson,72.0
Tyler  Arthur,70.0
Ryan Boeding,74.0
Noah Boyd,68.0
Jerry Brown,77.0
Brooks Cosman,72.0
Trevor Danner,73.0
Alex Gelman,71.0
Eric Hansson,72.0
Jan Hanzal,68.0
Tait Harvey,73.0
Nicholas Heye,71.0
Kyle Holzum,76.0
Elliott Irwin,74.0
Vincent Jaworski,74.0
Connor  Jokerst,70.0
Zach Linder,77.0
Matheo Mateos-Mongelos,72.0
Dylan McClain,72.0
David Molina-Fregenal,70.0
Brooks Moore,71.0
Jake Noble,70.0
Jose Ochoa,69.0
Melker Olsson,74.0
Evan Root,76.0
Max Roth,70.0
Pedro Henrique  Salvador da Silva,70.0
Gavin Schulte,73.0
Sebastian Silva,68.0
Ole Tharandt,72.0
Tyler Welch,69.0
Patryk Winiatowski,72.0
Caden Brooks,73.0
Kirk Brotherton,72.0
Owen Brubaker,75.0
DaVante Carey,72.0
Chance Conde,73.0
Patrick Cramer,74.0
Samuel Davey,71.0
Christian Davidson,68.0
Mason Enthoven,67.0
Miles Fleischer,63.0
Leo Gandaria-Hernandez,72.0
Kadence Griffin,70.0
Colton Grimes,79.0
Abram Hagedorn,73.0
Ethan Hanson,75.0
Come Jaegle,72.0
Nick Khatkovyy,68.0
Wyatt Kurtz,65.0
Caleb Law,72.0
Jackson Lustig,73.0
Neill Mauss,73.0
Xander McWhorter,71.0
Spencer Meyers,73.0
Archie  Minto,71.0
Finn Moseley,72.0
Joey Ovanic,72.0
Filipe Pinheiro,73.0
Nathan Pollard,74.0
Patryk Rozenek,75.0
Arthur Souza,69.0
Matthew Stooke,76.0
Michael Stooke,72.0
Noah Tague,74.0
Mario Perez Torrado,71.0
Preston Troyer,72.0
Tyson Upton,79.0
Alireza Yavari,70.0
Caleb Baron,72.0
Tyler Canteen,67.0
Doruk Evcimen,68.0
Tyler Finkle,76.0
AJ Guevara,66.0
Tomas  Jimenez,67.0
Daniel Karamanougian,70.0
Devin Korsak,70.0
Matthew O'Brien,71.0
Jacob Peraza,73.0
Sean Robinson,72.0
Andy Shkolnik,71.0
Joe Swede,76.0
Adam Wright,69.0
Maddox Aramini,67.0
Nicky Byrd,70.0
Ross Caimano,70.0
Joseph  Campise,73.0
Andrew Capella,69.0
Russell Cheng,67.0
Matt Cleveland,68.0
Bastian Dudley,70.0
Anthony Genovese,72.0
Luke Goodspeed,68.0
Dylan Harrison,69.0
Brendan Heaney,71.0
Ben Heyman,68.0
Calvin Hitzschke,72.0
Jack Humphrey,71.0
James  Llewellyn,66.0
Cosmo Martinelli,74.0
Josh Pappace,69.0
Colin Ringwood,69.0
David Scott,70.0
Delroy Tyrrell,72.0
Gavin Weseman,76.0
Benjamin Beldner,73.0
Brandon Berger,73.0
Ryan Board,71.0
Keegan Chatham,70.0
Zachary Ciriaco,66.0
Ryan Cohn,70.0
Nathan DeGuzman,69.0
Christopher Egan,66.0
Christopher Ghim,72.0
Brian Harding,76.0
Jackson Homan,72.0
Sandon Karinsky,70.0
George Kipshidze,73.0
Eric Kroon,77.0
Elijah Lanfear,74.0
Xiaoyu Lin,73.0
Ryan Maierle,75.0
William Maurer,70.0
Justin Meyn,74.0
Liam Murphy,73.0
Oisin O'Sullivan,71.0
Matthew Palguta,74.0
Travis Phillips,73.0
Robert Reining,74.0
Henry Shemet,75.0
Jake  Vecchio,68.0
Matthew Czubachowski,72.0
Nicholas Dolan,73.0
Caleb Ferns,72.0
Nicholas Griffith,76.0
Joseph Guiliano,72.0
Kieran Hassard,72.0
Anthony Laite,69.0
Drew MacDonald,72.0
Kyle Morken,73.0
Peter Vanderwerf,75.0
