Name,Height
Aurelia Barbagallo,63.0
Jacqueline DeFranco,65.0
Katherine Ebrahim,69.0
Jessica  Johnson,68.0
Brooke Manning,66.0
Edna Melendez,69.0
Morgan Novello,65.0
Kolleen Rodriguez,62.0
Deanna Soueid,62.0
Jordan Swanson,67.0
Katarina Tsirlin,64.0
Asmea Youssef,67.0
Gabriela Almeida,63.0
Marin Azhar,61.0
Alyssa Budzynski,68.0
Brigitti Cruz,66.0
Danielle D'Angelo,66.0
Megan Dawes,68.0
Sekyi Dolma,63.0
Chelsy Espinosa,65.0
Amanda Giordano,65.0
Naomi Oken,64.0
Allie Stanya,67.0
Gabriella Vicidomini,64.0
Lily Wilk,63.0
Nakia Usher,58.0
Julia Wyman,58.0
Scarlet Astudillo,64.0
Joscelyn  Galindo,63.0
Dea Gazheli,63.0
Amanda Lee,61.0
Katherine Lee,62.0
Jillian Quinn,65.0
Aanya Shukul,69.0
Nicole  Tarasiuk,67.0
Joyce  Wong,64.0
Amy Zeng,62.0
Alexia Bakyt,67.0
Susanna Buckley,65.0
Wendy Daza,62.0
Gurveen Dhallu,65.0
Ayatallah Elkotby,72.0
Whitney Fowler,69.0
Anastassiya Gousseva,66.0
Julie  Huang,61.0
Anastasia Kutuzov,66.0
Monica  Prado Capon,66.0
Yulia Reznik Korik,66.0
Mariama Sano,65.0
Leah Allen,65.0
Jessica Brusnahan,66.0
Elle Christie,69.0
Marit de Lau,67.0
Noelle Defabio,66.0
Laney Fenton,67.0
Morgen Frausto,69.0
Isabella Gable,71.0
Jana Hellenschmidt,68.0
Claudia Hollis,69.0
Shelby Kasse,70.0
Ellie Lopez,68.0
Stephanie Marks,70.0
Adison Marshall,69.0
Beata Maruszczyk,63.0
Emily Massengale,67.0
Joselle Mensah,69.0
Marlene Pape,68.0
Chloe  Pearson,64.0
Ashley Richard,64.0
Meredith Riegler,68.0
Camilla Rimmereide,66.0
Leticia Rodrigues,65.0
Lillie Schafer,60.0
Sophia Scott,64.0
Taylor Seilheimer,69.0
McKayla Siemiller,68.0
Emily Snyder,66.0
Nina Tasic,67.0
Bayley Thompson,65.0
Kirsten Votava,69.0
Linsey Watson,68.0
Katie Werkema,63.0
Lexie Winnett,67.0
Lyssa Wood,69.0
Aurora Abbruscato,66.0
Bianka Bukovics,71.0
Sophia Burwitz,66.0
Terrah DeLorimiere,63.0
Luiza Dias,68.0
McKenzie Fazio,74.0
Chiara Fuerst,67.0
Olivia Fuller,68.0
Atzi Gomez,63.0
Sarah Gormley,66.0
Presley Heitzmann,71.0
Alexis Kachkin,69.0
Natalia Kralova,69.0
Helena  Kurtz,64.0
Tumi Macdonell,68.0
Keianna Moss,68.0
Rylee Sitton,67.0
Caitlyn Sligh,68.0
Karley Sonnenberg,70.0
Olivia Terry,65.0
Logan Wilson,65.0
Jocelyn Zgola,70.0
Fifi  Amanuel,64.0
Julia Caramagna,62.0
Isabella Hanson,70.0
Mairin Huston,63.0
Maddy Joe,62.0
Grace Korey,70.0
Camila Mercado,61.0
Valeria Pages,61.0
Alazne Sudupe,65.0
Magdalen Swat,62.0
Sovy Taylor,65.0
Rachel Vazquez,65.0
Cami Yovich,62.0
Krisztina Balogh,66.0
Emma Bellars,65.0
Abby Burns,65.0
Alisa Dovbnya,68.0
Laney Fenton,66.0
Grace Geyer,71.0
Taylor Jacobson,61.0
Ashley Konz,68.0
Emma Lindecke,65.0
Abbie Masters,63.0
Teagan Powell,69.0
Vivian Ravines,68.0
Faith Ring,63.0
Sydney Stemley,66.0
Braelyn Wilson,65.0
Victoria Zjawin,64.0
Claire Armstrong,65.0
Erin Clune,70.0
Kimberly Colella,64.0
Cadence  Dudley,62.0
Anna Guzzo,64.0
Natalie Hunt,64.0
Kayla Keddy,62.0
Melissa Kelly,63.0
Anna McCall,66.0
Emma McInerney,67.0
Erin Mullery,66.0
Sophia Olson,62.0
Samantha Sanchez,66.0
Danielle Shaw,61.0
Paige Splendido,65.0
Emma Stephenson,67.0
Callie Stinson,64.0
Jessie Triller,62.0
Emma Trumino,65.0
