Name,Height
Caroline Elfner,67.0
Pei  Qiong Ren,65.0
Karla Javier Leyba,64.0
Isabella Doring,67.0
Michelle Murillo,68.0
Karolina Lundqvist,68.0
Elana Vaysburd,68.0
Delaney Killeen,71.0
Haley Castaneda,68.0
Emilie Kaziu,64.0
Dibjot Kaur,68.0
Karen Pozo Castro,66.0
Elizabeth Wood,69.0
Jasmine  Vega,61.0
Samantha Panameno,65.0
Simranjit Kaur,63.0
Jasmine Dias,59.0
Devina  Luckhoo,63.0
Amariana Kidd,63.0
Yoanne Boadji,65.0
Jachimma Onwuamaegbu,71.0
Maritza Ortega Ramirez,66.0
Madison Plaza,67.0
Alicia Gumbs,65.0
Vanessa Ramirez,63.0
Maria Ventura,63.0
Jeana Clemons,67.0
Iyanna  Charon,67.0
Yaxeny Hernandez,64.0
Camila  Lebron,67.0
Nicole  Rosas,64.0
Savannah  Williams,68.0
Nyla  Rivera,67.0
Tiffany  Alvarez,64.0
Jasmine  Garcia,67.0
Nathalia  Shaw,64.0
Zainab Conteh,68.0
Ashly  Cabral,64.0
Daniela Salazar-Gomez,63.0
Maynee De Los Santos,64.0
Emely Nunez,66.0
Kiana Castillo,70.0
Breanna Kimbrough,69.0
Zouera Sofiani,65.0
Nicole Santos,66.0
Aichata Kone,70.0
Nayely Rodriguez,66.0
Nahara Lopez,66.0
Despina Boudouris,65.0
Olivia Hyman,65.0
Sophie Schonauer,67.0
Nourhan Hadjeb,61.0
Christina Franco,69.0
Madi Hathaway,70.0
Elena Leung,68.0
Alicia Cervera,71.0
Lindsay Osterhoudt,73.0
Elizabeth Cerullo,68.0
Alexis Stoehrer,65.0
Jonaida Donowa,71.0
Jayna Marie Lorenzo,68.0
Kendall Conrad,71.0
Sarah Munn,63.0
Maya Angelova,75.0
Marah  Zenner,65.0
Rylie Harris,65.0
Giulia Rodrigues,63.0
Mia Saavedra,70.0
Mikayla  Kline,70.0
Sophia Kruczko,75.0
Lauren Posa,73.0
Abigail LeVines,71.0
Jada Suguturaga,73.0
Libby Nickels,61.0
Madelyn Eden,74.0
Jacklyn Simms,72.0
Marin Freeland,74.0
Layne Witherspoon,70.0
Janvier Buggs,66.0
Amelia Fitzpatrick,69.0
Lexi Basler,64.0
Ella Wicker,65.0
Marley Middlebrooks,70.0
Meredith Dixon,73.0
Colby Stempkowski,72.0
Bennett Daniels,71.0
Briged Potter,70.0
Shaelin Bilbo,66.0
Jordan Norwood,70.0
Molly Boyd,75.0
Jordan Berglin,70.0
Clare Sheedy,72.0
Cecilia Robert,67.0
Maeson Peterson,73.0
Lainee Mack,68.0
Cassidy Bloom,69.0
Gracie Fleming,71.0
Ana Cate Loftus,70.0
Madison Fox,67.0
Anna Sommer,73.0
Sidney Hogan,67.0
Avery Pearson,74.0
Tucker Patterson,70.0
Chloe Duzenack,71.0
Lexi Rogers,69.0
Alli Bishop,72.0
Hailey Admire,70.0
Kira Bostick,66.0
Leilani Brown,69.0
Bailey Corrigan,72.0
Ella Hukel,63.0
Hayley Laskowski,73.0
Kadence Livingston,69.0
Camie Mitrovich,69.0
Baylee Rabun,65.0
Brynn Westby,72.0
Olivia Cook,68.0
Kaitlyn Houck,63.0
Kelly Gaston,68.0
Avery Nicholson,65.0
Natalie Acevedo,68.0
Salma Villa  Morales,62.0
Reagan  Irons,69.0
Avery Beall,69.0
Madison Eckley,65.0
Emma Kelly,69.0
Evie Jane Rembold,71.0
Gracelynn Wolzen,71.0
Maggie Rafferty,67.0
Gabby Gealey,71.0
Claire Pavick,68.0
Erin Ferello,65.0
Alyssa Daley,75.0
Myka Costanzo,64.0
Kyleigh McDermit,71.0
Katrina Cowder,71.0
